script_name,script_path,output_root,output_type,status,notes
run_2025_rededgep_preprocess,scripts/preprocessing/rededgep/run_2025_rededgep_preprocess.py,outputs/preprocessing/rededgep,logs/reports/manifests,production,Canonical 2025 RedEdge-P week runner
micasense_rededgep_preprocess,scripts/preprocessing/rededgep/micasense_rededgep_preprocess.py,external ONCERCO processing folders,reflectance stacks/manifests,production,Writes uint16 reflectance stacks in Blue Green Red Red-edge NIR order
analyze_cross_year_generalization_2024_to_2025,scripts/analysis/severity/analyze_cross_year_generalization_2024_to_2025.py,outputs/cross_year_generalization_2024_to_2025,results/reports/figures,analysis,Main cross-year early warning and severity results
analyze_early_warning_severity_2024,scripts/analysis/early_warning/analyze_early_warning_severity_2024.py,outputs/early_warning_severity_2024,results/reports/figures,analysis,2024 early-warning model family
analyze_multiangular_distribution_feature_family,scripts/analysis/severity/analyze_multiangular_distribution_feature_family.py,outputs/multiangular_distribution_feature_family,results/reports,analysis,Multiangular feature family and residual severity work
create_frozen_severity_manuscript_tables,scripts/analysis/manuscript_tables/create_frozen_severity_manuscript_tables.py,outputs/manuscript_tables/frozen_multiangular_severity,tables/reports,analysis,Frozen severity pipeline manuscript tables
extract_oncerco_backup_metadata,scripts/metadata/extract_oncerco_backup_metadata.py,outputs/backup_metadata,csv/reports/manifests,production,Backup spreadsheet metadata extraction
calibrate_metashape_compatibility,scripts/diagnostics/metashape_compatibility/calibrate_metashape_compatibility.py,outputs/reports/metashape_custom_matchtest,reports/results,diagnostic,Metashape/custom correction factor diagnostics
create_metashape_custom_visual_diagnostics,scripts/diagnostics/metashape_compatibility/create_metashape_custom_visual_diagnostics.py,outputs/figures/metashape_custom_visual_diagnostics,figures,diagnostic,Visual comparison panels for Metashape/custom products
alignment_diagnostics,scripts/diagnostics/alignment,outputs/quality,figures/logs,diagnostic,CPU/GPU SIFT QA and benchmarking scripts
